ENSG	WT1	WT2	WT3	KO1	KO2	KO3	Symbol
ENSMUSG00000063019	772	537	726	452	722	676	Manbal
ENSMUSG00000025726	87	49	64	18	38	25	Slc28a1
ENSMUSG00000025727	0	1	1	0	0	2	A930017K11Rik
ENSMUSG00000034432	1067	1109	990	786	1403	1153	Cops8
ENSMUSG00000029716	83	49	60	15	31	11	Tfr2
ENSMUSG00000028538	655	358	463	139	269	347	St3gal3
ENSMUSG00000028539	33	17	21	149	280	227	Artn
ENSMUSG00000025728	2150	1568	1765	1271	1970	1819	Pigq
ENSMUSG00000071047	2	2	0	2	2	3	Ces1a
ENSMUSG00000083483	0	0	1	0	0	0	Gm14044
ENSMUSG00000029715	273	184	284	180	252	271	Pop7
ENSMUSG00000021612	10	9	6	11	8	11	Slc6a18
ENSMUSG00000021613	56	67	42	37	33	26	Hapln1
ENSMUSG00000021610	3215	2282	2648	1997	2909	2739	Clptm1l
ENSMUSG00000021611	58	54	44	53	61	29	Tert
ENSMUSG00000062545	6	4	6	3	9	8	Tlr12
ENSMUSG00000021614	707	731	884	812	1105	582	Vcan
ENSMUSG00000021615	84	93	74	159	176	65	Xrcc4
ENSMUSG00000032652	365	439	290	326	526	309	Crebl2
ENSMUSG00000032301	1477	1819	1229	2049	3116	1402	Psma4
ENSMUSG00000039130	437	362	383	304	409	398	Zc3hc1
ENSMUSG00000032303	1	7	10	2	3	7	Chrna3
ENSMUSG00000032305	944	623	725	520	801	676	Fam219b
ENSMUSG00000032306	512	557	461	376	556	494	Mpi
ENSMUSG00000032307	1208	1149	842	972	1544	927	Ube2q2
ENSMUSG00000096140	3	5	2	6	4	2	Ankrd66
ENSMUSG00000047798	23	11	4	18	8	11	Cd300lf
ENSMUSG00000022526	589	491	397	370	668	508	Zfp251
ENSMUSG00000060402	9	19	14	2	7	9	Chst8
ENSMUSG00000032064	276	327	209	181	367	154	Dixdc1
ENSMUSG00000034349	803	779	979	1657	3369	958	Smc4
ENSMUSG00000029249	1060	916	817	638	982	663	Rest
ENSMUSG00000026042	5993	5168	5363	2213	3739	4801	Col5a2
ENSMUSG00000001517	945	615	744	510	1079	872	Foxm1
ENSMUSG00000036815	4	9	5	3	16	3	Dpp10
ENSMUSG00000087903	0	0	1	0	0	0	Gm22039
ENSMUSG00000030120	7200	4136	5749	3245	5527	4784	Mlf2
ENSMUSG00000027422	3885	3828	3657	3230	5049	3870	Rrbp1
ENSMUSG00000047045	6296	3457	5212	2519	4365	5239	Tmem164
ENSMUSG00000019297	868	653	691	515	752	761	Nop9
ENSMUSG00000061336	0	0	0	1	0	0	Olfr116
ENSMUSG00000053914	1	3	2	1	3	0	Kdm4d
ENSMUSG00000093989	19	18	11	14	14	4	Rnasek
ENSMUSG00000053916	2	3	1	1	5	3	Nanp
ENSMUSG00000021779	471	579	405	540	660	364	Thrb
ENSMUSG00000017721	3339	2061	2570	1383	2616	2481	Pigt
ENSMUSG00000004948	1	0	0	0	0	0	Zp3
ENSMUSG00000021809	543	509	405	360	537	330	Nudt13
ENSMUSG00000017724	514	565	560	486	924	693	Etv4
ENSMUSG00000021771	3130	2890	2778	2365	3446	3029	Vdac2
ENSMUSG00000092456	0	0	0	1	0	0	V1rd19
ENSMUSG00000021773	39	28	41	28	48	29	Comtd1
ENSMUSG00000021772	458	378	285	306	396	247	Nkiras1
ENSMUSG00000021803	332	179	162	317	499	396	Cdhr1
ENSMUSG00000009350	2	2	2	3	6	2	Mpo
ENSMUSG00000072709	0	0	0	0	0	1	Olfr380
